"","Specificity","Sensitivity","Outcome","Dataset"
"miRNA.X.0.2521.0.25271.",20,63.125,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.25145.0.2521.",20,63.75,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.25078.0.25145.",20,64.375,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.24987.0.25078.",15,49.375,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.24831.0.24987.",15,50,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.24631.0.24831.",15,50.625,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.24516.0.24631.",15,51.25,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.24478.0.24516.",15,51.875,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.2435.0.24478.",15,52.5,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.24235.0.2435.",15,53.125,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.24204.0.24235.",15,53.75,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.24162.0.24204.",15,54.375,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.24105.0.24162.",15,55,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.24022.0.24105.",15,55.625,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.23952.0.24022.",15,56.25,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.23919.0.23952.",15,56.875,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.23801.0.23919.",15,57.5,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.23612.0.23801.",15,58.125,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.23392.0.23612.",15,58.75,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.23242.0.23392.",15,59.375,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.23193.0.23242.",15,60,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.23161.0.23193.",10,41.25,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.2312.0.23161.",10,41.875,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.23067.0.2312.",10,42.5,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.23021.0.23067.",10,43.125,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.2296.0.23021.",10,43.75,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.22915.0.2296.",10,44.375,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.22798.0.22915.",10,45,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.22584.0.22798.",10,45.625,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.22407.0.22584.",10,46.25,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.2225.0.22407.",10,46.875,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.22123.0.2225.",10,47.5,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.22052.0.22123.",10,48.125,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.21896.0.22052.",10,48.75,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.21692.0.21896.",10,49.375,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.21534.0.21692.",5,1.875,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.21196.0.21534.",5,2.5,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.20887.0.21196.",5,3.125,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.20725.0.20887.",5,3.75,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.20536.0.20725.",5,4.375,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.20467.0.20536.",5,5,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.20449.0.20467.",5,5.625,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.20384.0.20449.",5,6.25,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.20145.0.20384.",5,6.875,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.19866.0.20145.",5,7.5,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.19649.0.19866.",5,8.125,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.19397.0.19649.",5,8.75,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.19241.0.19397.",5,9.375,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.19118.0.19241.",5,10,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.18716.0.19118.",5,10.625,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.18322.0.18716.",5,11.25,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.18236.0.18322.",5,11.875,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.18122.0.18236.",5,12.5,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.1797.0.18122.",5,13.125,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.17805.0.1797.",5,13.75,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.17677.0.17805.",5,14.375,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.17659.0.17677.",5,15,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.17624.0.17659.",5,15.625,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.17583.0.17624.",5,16.25,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.17495.0.17583.",5,16.875,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.17318.0.17495.",5,17.5,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.17175.0.17318.",5,18.125,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.17081.0.17175.",5,18.75,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.16871.0.17081.",5,19.375,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.16687.0.16871.",5,20,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.1654.0.16687.",5,20.625,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.16383.0.1654.",5,21.25,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.16067.0.16383.",5,21.875,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.15788.0.16067.",5,22.5,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.15766.0.15788.",5,23.125,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.15542.0.15766.",5,23.75,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.15327.0.15542.",5,24.375,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.15217.0.15327.",5,25,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.15098.0.15217.",5,25.625,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.14904.0.15098.",5,26.25,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.14725.0.14904.",5,26.875,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.14637.0.14725.",5,27.5,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.14521.0.14637.",5,28.125,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.14389.0.14521.",5,28.75,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.14276.0.14389.",5,29.375,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.14156.0.14276.",5,30,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.14024.0.14156.",5,30.625,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.13831.0.14024.",5,31.25,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.1352.0.13831.",5,31.875,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.1325.0.1352.",5,32.5,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.13121.0.1325.",5,33.125,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.12943.0.13121.",5,33.75,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.12744.0.12943.",5,34.375,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.12674.0.12744.",5,35,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.12606.0.12674.",5,35.625,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.12098.0.12606.",5,36.25,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.11613.0.12098.",5,36.875,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.11608.0.11613.",5,37.5,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.11153.0.11608.",5,38.125,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.10682.0.11153.",5,38.75,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.10499.0.10682.",5,39.375,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.099351.0.10499.",5,40,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.088607.0.099351.",5,40.625,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.064026.0.088607.",5,41.25,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.040256.0.064026.",0,0,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.0.027451.0.040256.",0,0.625,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X..Inf.0.027451.",0,1.25,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.1",0,1.875,"HER2-enriched vs Other(s): 0.7703","miRNA"
"miRNA.X.1.5418..Inf.",100,100,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.5391.1.5418.",98.780487804878,100,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.5195.1.5391.",97.5609756097561,98.9795918367347,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.5014.1.5195.",97.5609756097561,100,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.4906.1.5014.",96.3414634146341,98.9795918367347,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.4615.1.4906.",95.1219512195122,98.9795918367347,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.4397.1.4615.",93.9024390243902,98.9795918367347,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.4161.1.4397.",92.6829268292683,96.9387755102041,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.3913.1.4161.",92.6829268292683,97.9591836734694,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.3837.1.3913.",92.6829268292683,98.9795918367347,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.3752.1.3837.",91.4634146341463,96.9387755102041,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.3668.1.3752.",90.2439024390244,96.9387755102041,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.3638.1.3668.",89.0243902439024,96.9387755102041,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.3635.1.3638.",87.8048780487805,96.9387755102041,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.3608.1.3635.",86.5853658536585,96.9387755102041,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.342.1.3608.",85.3658536585366,96.9387755102041,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.3249.1.342.",84.1463414634146,96.9387755102041,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.3199.1.3249.",82.9268292682927,96.9387755102041,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.3111.1.3199.",81.7073170731707,96.9387755102041,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.3054.1.3111.",80.4878048780488,95.9183673469388,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.303.1.3054.",80.4878048780488,96.9387755102041,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.2991.1.303.",79.2682926829268,95.9183673469388,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.2931.1.2991.",78.0487804878049,95.9183673469388,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.2846.1.2931.",76.8292682926829,94.8979591836735,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.2778.1.2846.",76.8292682926829,95.9183673469388,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.2754.1.2778.",75.609756097561,94.8979591836735,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.2709.1.2754.",74.390243902439,94.8979591836735,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.2667.1.2709.",73.1707317073171,94.8979591836735,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.2655.1.2667.",71.9512195121951,94.8979591836735,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.2614.1.2655.",70.7317073170732,94.8979591836735,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.2578.1.2614.",69.5121951219512,94.8979591836735,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.2558.1.2578.",68.2926829268293,94.8979591836735,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.2503.1.2558.",67.0731707317073,94.8979591836735,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.2451.1.2503.",65.8536585365854,94.8979591836735,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.2411.1.2451.",64.6341463414634,94.8979591836735,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.2374.1.2411.",63.4146341463415,94.8979591836735,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.2308.1.2374.",62.1951219512195,94.8979591836735,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.2233.1.2308.",60.9756097560976,94.8979591836735,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.2199.1.2233.",59.7560975609756,94.8979591836735,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.2121.1.2199.",58.5365853658537,94.8979591836735,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.2049.1.2121.",57.3170731707317,94.8979591836735,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.2029.1.2049.",56.0975609756098,94.8979591836735,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.2014.1.2029.",54.8780487804878,93.8775510204082,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.1999.1.2014.",54.8780487804878,94.8979591836735,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.1983.1.1999.",53.6585365853658,93.8775510204082,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.1949.1.1983.",52.4390243902439,93.8775510204082,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.1889.1.1949.",51.219512195122,93.8775510204082,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.1847.1.1889.",50,93.8775510204082,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.1821.1.1847.",48.780487804878,91.8367346938776,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.1755.1.1821.",48.780487804878,92.8571428571429,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.1693.1.1755.",48.780487804878,93.8775510204082,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.1659.1.1693.",47.5609756097561,91.8367346938776,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.1631.1.1659.",46.3414634146341,91.8367346938776,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.1597.1.1631.",45.1219512195122,91.8367346938776,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.1563.1.1597.",43.9024390243902,91.8367346938776,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.1531.1.1563.",42.6829268292683,91.8367346938776,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.1497.1.1531.",41.4634146341463,91.8367346938776,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.1471.1.1497.",40.2439024390244,91.8367346938776,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.1436.1.1471.",39.0243902439024,91.8367346938776,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.1384.1.1436.",37.8048780487805,91.8367346938776,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.1303.1.1384.",36.5853658536585,91.8367346938776,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.1241.1.1303.",35.3658536585366,91.8367346938776,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.1225.1.1241.",34.1463414634146,91.8367346938776,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.1216.1.1225.",32.9268292682927,91.8367346938776,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.1198.1.1216.",31.7073170731707,87.7551020408163,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.1174.1.1198.",31.7073170731707,88.7755102040816,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.1158.1.1174.",31.7073170731707,89.7959183673469,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.1147.1.1158.",31.7073170731707,90.8163265306122,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.1115.1.1147.",31.7073170731707,91.8367346938776,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.1084.1.1115.",30.4878048780488,87.7551020408163,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.1049.1.1084.",29.2682926829268,84.6938775510204,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.1009.1.1049.",29.2682926829268,85.7142857142857,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.0986.1.1009.",29.2682926829268,86.734693877551,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.0962.1.0986.",29.2682926829268,87.7551020408163,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.095.1.0962.",28.0487804878049,84.6938775510204,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.0914.1.095.",26.8292682926829,83.6734693877551,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.0842.1.0914.",26.8292682926829,84.6938775510204,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.0802.1.0842.",25.609756097561,82.6530612244898,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.0793.1.0802.",25.609756097561,83.6734693877551,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.0786.1.0793.",24.390243902439,82.6530612244898,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.0753.1.0786.",23.1707317073171,81.6326530612245,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.0716.1.0753.",23.1707317073171,82.6530612244898,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.0707.1.0716.",21.9512195121951,80.6122448979592,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.0624.1.0707.",21.9512195121951,81.6326530612245,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.0526.1.0624.",20.7317073170732,80.6122448979592,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.0499.1.0526.",19.5121951219512,80.6122448979592,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.0475.1.0499.",18.2926829268293,77.5510204081633,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.0448.1.0475.",18.2926829268293,78.5714285714286,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.0409.1.0448.",18.2926829268293,79.5918367346939,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.036.1.0409.",18.2926829268293,80.6122448979592,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.0331.1.036.",17.0731707317073,77.5510204081633,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.0321.1.0331.",15.8536585365854,77.5510204081633,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.03.1.0321.",14.6341463414634,75.5102040816326,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.0282.1.03.",14.6341463414634,76.530612244898,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.0213.1.0282.",14.6341463414634,77.5510204081633,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.0119.1.0213.",13.4146341463415,74.4897959183674,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.1.0043.1.0119.",13.4146341463415,75.5102040816326,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.0.99485.1.0043.",12.1951219512195,74.4897959183674,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.0.98853.0.99485.",10.9756097560976,71.4285714285714,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.0.98592.0.98853.",10.9756097560976,72.4489795918367,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.0.98243.0.98592.",10.9756097560976,73.469387755102,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.0.9798.0.98243.",10.9756097560976,74.4897959183674,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.0.97907.0.9798.",9.75609756097559,69.3877551020408,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.0.97642.0.97907.",9.75609756097559,70.4081632653061,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.0.9736.0.97642.",9.75609756097559,71.4285714285714,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.0.9685.0.9736.",8.5365853658537,69.3877551020408,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.0.96228.0.9685.",7.3170731707317,61.2244897959184,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.0.95822.0.96228.",7.3170731707317,62.2448979591837,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.0.95479.0.95822.",7.3170731707317,63.265306122449,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.0.95305.0.95479.",7.3170731707317,64.2857142857143,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.0.94885.0.95305.",7.3170731707317,65.3061224489796,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.0.94501.0.94885.",7.3170731707317,66.3265306122449,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.0.94222.0.94501.",7.3170731707317,67.3469387755102,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.0.93903.0.94222.",7.3170731707317,68.3673469387755,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.0.93834.0.93903.",7.3170731707317,69.3877551020408,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.0.92967.0.93834.",6.0975609756098,57.1428571428571,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.0.9195.0.92967.",6.0975609756098,58.1632653061224,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.0.91755.0.9195.",6.0975609756098,59.1836734693878,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.0.91164.0.91755.",6.0975609756098,60.2040816326531,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.0.90548.0.91164.",6.0975609756098,61.2244897959184,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.0.90474.0.90548.",4.8780487804878,51.0204081632653,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.0.90405.0.90474.",4.8780487804878,52.0408163265306,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.0.9029.0.90405.",4.8780487804878,53.0612244897959,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.0.90126.0.9029.",4.8780487804878,54.0816326530612,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.0.90029.0.90126.",4.8780487804878,55.1020408163265,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.0.89771.0.90029.",4.8780487804878,56.1224489795918,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.0.89223.0.89771.",4.8780487804878,57.1428571428571,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.0.88749.0.89223.",3.65853658536591,36.734693877551,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.0.88271.0.88749.",3.65853658536591,37.7551020408163,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.0.87569.0.88271.",3.65853658536591,38.7755102040816,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.0.87096.0.87569.",3.65853658536591,39.7959183673469,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.0.86868.0.87096.",3.65853658536591,40.8163265306122,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.0.86053.0.86868.",3.65853658536591,41.8367346938776,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.0.85329.0.86053.",3.65853658536591,42.8571428571429,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.0.84992.0.85329.",3.65853658536591,43.8775510204082,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.0.842.0.84992.",3.65853658536591,44.8979591836735,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.0.83674.0.842.",3.65853658536591,45.9183673469388,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.0.83305.0.83674.",3.65853658536591,46.9387755102041,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.0.82669.0.83305.",3.65853658536591,47.9591836734694,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.0.82181.0.82669.",3.65853658536591,48.9795918367347,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.0.81426.0.82181.",3.65853658536591,50,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.0.80292.0.81426.",3.65853658536591,51.0204081632653,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.0.79611.0.80292.",2.4390243902439,31.6326530612245,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.0.79513.0.79611.",2.4390243902439,32.6530612244898,"Luminal A vs Other(s): 0.8734","miRNA"
"miRNA.X.0.79478.0.79513.",2.4390243902439,33.6734693877551,"Luminal A vs Other(s): 0.8734","miRNA"
